,Train_Data_Size,Transformation,W,b,Residuals_Per_Image,Accuracy,Co_Sim_CLS
0,650,Transformation_Matrix_W,"[[ -71.844635 -689.9096   -183.70544  ...  -84.62161  -391.7818
   -94.52888 ]
 [ 248.20251     9.854618 -257.34262  ... -101.55092   413.81592
  -212.85602 ]
 [ 210.59587   206.71507   119.73552  ...  466.3446   -218.52087
   265.98907 ]
 ...
 [ -64.88879  -376.62323  -356.44476  ... -117.18404  -156.10532
   -13.446328]
 [ 377.79926   581.95496  -132.2755   ...  217.17514   331.95322
  -138.98648 ]
 [  55.481853 -342.85773  -472.75165  ... -289.0407     17.78027
  -296.06247 ]]",,[],0.11109403810694529,0.12226728263885442
1,650,Transformation_Matrix_W,"[[-412.5757    222.14424   177.83397  ...  101.99748    24.038008
  -198.81995 ]
 [ 348.71893   -52.301514  -59.365967 ...   38.81481  -147.85867
   168.66231 ]
 [ 113.61154   406.63974   128.56462  ... -140.5058   -115.89604
   116.50378 ]
 ...
 [ 131.73285  -273.20724   156.02551  ...   49.193386  -84.8079
    52.810078]
 [   9.453332  457.4768   -377.77267  ... -120.93374   137.56396
   803.87274 ]
 [-511.41565  -387.0715    -29.059776 ... -315.45297  -147.33958
   -48.50912 ]]",,[],0.13383527965580824,0.18763291757068704
2,650,Transformation_Matrix_W,"[[  55.36684   -25.45729   -69.44435  ...  -92.701096    6.130522
  -133.20255 ]
 [-194.52055  -210.13568   -89.543274 ... -123.18513   -31.754625
  -193.01639 ]
 [ 150.29987   239.14368  -225.79771  ...  -89.68615   150.31229
   240.07718 ]
 ...
 [ 169.59804   -27.440596   78.03847  ...  167.4185   -160.37697
    13.746035]
 [ 174.36153    40.920353  208.4992   ...  246.9906   -120.01974
  -100.350464]
 [  27.126236   27.346062  116.00477  ... -159.38846   -48.228596
    48.11899 ]]",,[],0.1579978488014751,0.22991445704525754
3,650,Transformation_Matrix_W,"[[ -9.356761  -40.870277   40.345203  ... -40.76351    32.523018
  -78.339874 ]
 [-19.15125    -2.8124247  58.327156  ...  76.2613    -55.518764
   10.882516 ]
 [-47.855495   74.40065   -35.489647  ... -88.18542   118.77522
  -16.744598 ]
 ...
 [  9.265567   36.03701    37.65724   ...  29.705118  -45.628933
  -33.53593  ]
 [-15.857042    2.398557   -8.927823  ...  61.31817    -5.042862
   41.971115 ]
 [149.3389    -43.839916   -2.0469203 ... -31.391777   43.90983
  -22.465052 ]]",,[],0.15027658266748617,0.19792789649172557
4,650,Transformation_Matrix_W,"[[ 40.450253   40.447643   -3.0556283 ...  -8.0501175  27.37113
    9.1151   ]
 [-11.6147375  -4.787469    6.5288644 ...   5.1566634   5.7760553
   30.227356 ]
 [ 30.048403  -43.60906    11.396949  ... -12.752966  -26.671476
  -22.082594 ]
 ...
 [-22.310343   25.896502  -16.76483   ...  -3.161334    5.805352
  -10.648579 ]
 [ 28.659767    4.4939933  28.527172  ...  16.311178  -21.511948
   26.672983 ]
 [ 14.069001  -54.951736   14.995303  ...   3.730017  -17.554419
  -38.86501  ]]",,[],0.1989858635525507,0.26217455902029313
5,650,Transformation_Matrix_W,"[[-12.584259    8.79984    -2.6724558 ...  -3.4034731 -15.043452
   31.67978  ]
 [-29.693283  -18.11925   -25.933914  ... -24.429838   12.718824
   -1.7035888]
 [-15.406059    8.987775   15.658972  ...  20.802814    5.1476035
   -6.295328 ]
 ...
 [  9.553841    6.0531373  -5.3949175 ... -25.458712    8.624116
    4.3387184]
 [ -8.454961   -7.5013423 -14.976589  ... -24.553463   15.859282
  -11.730469 ]
 [-10.042833   -9.9268265  -2.820458  ... -18.134562   -1.775544
   -1.3710808]]",,[],0.17685925015365703,0.2519301137262246
6,650,Transformation_Matrix_W,"[[  3.0435758    6.534245     0.48329553 ...  -8.466392    -5.336103
   16.232319  ]
 [  1.546337     3.5919027    8.2077055  ...  -0.19482942  -4.930892
   -6.987443  ]
 [-10.444506    -6.2535014   -0.9005211  ...   1.1126109    1.026285
   -6.4672318 ]
 ...
 [  7.370872    -2.6807582   -8.589269   ...  -4.494831     1.7224661
    1.0159261 ]
 [  1.8263406   -2.7247827    2.54158    ...  -4.2982063   -6.058745
    7.215316  ]
 [  0.1730361   -2.6480176    5.42919    ...   7.189244    -1.9587113
   -2.3418484 ]]",,[],0.185079901659496,0.2660669682945608
7,650,Transformation_Matrix_W,"[[ 5.985875   -5.064202    5.20211    ...  2.6787808   0.45687202
   1.4764228 ]
 [ 2.0042946   9.568653   -5.28539    ...  0.8479152   3.1454713
   6.931833  ]
 [ 1.6928945   3.7797794  -1.0575315  ...  1.0050259   1.1632552
  -4.760781  ]
 ...
 [ 0.75564283 -5.1330414   0.48892272 ... -1.9381179   1.282238
  -0.86579   ]
 [ 0.7474611  -7.0813484   5.1548443  ...  5.409143   -0.0777233
  -9.362977  ]
 [ 2.7890165   7.58955    -1.1298497  ... -0.1628313   0.95135117
   7.838126  ]]",,[],0.2028657037492317,0.26581565973506804
8,650,Transformation_Matrix_W,"[[ 2.2676935   2.6467297  -2.1027768  ...  0.7706305   1.9000483
   2.6046655 ]
 [ 3.5652335   7.350035   -3.6446414  ... -0.06659539  1.3902866
   2.664553  ]
 [ 5.3534913   2.186593   -0.38825375 ...  0.6122377  -0.08892169
   3.590315  ]
 ...
 [-1.3837622   2.7578704   3.2581809  ...  4.034467    1.8924438
   1.8697006 ]
 [-0.7366129  -2.2373729  -0.5619983  ...  0.40734076  0.8057525
  -2.088002  ]
 [ 0.8058595   1.1119012   1.2880584  ...  5.5782046   0.23833717
   3.040109  ]]",,[],0.20751382913337432,0.2816273647678572
9,650,Transformation_Matrix_W,"[[-1.7752371   3.5492623  -1.5208263  ...  3.2064443   0.532587
   3.5646565 ]
 [ 0.829078    0.28850946  0.06716413 ...  2.6030607   0.46742016
   0.06484863]
 [ 0.48796353  0.05177343 -1.1359439  ...  1.4898849  -0.71776307
   1.91181   ]
 ...
 [-1.0889065  -1.6037838   0.32696038 ...  1.0333776  -0.4303112
  -4.073757  ]
 [-1.0715008   3.1995697  -1.4884349  ...  0.6874862   1.4315618
   3.9158685 ]
 [ 2.4719198  -2.843458    2.2350945  ... -0.29240662  0.8861346
  -1.2724392 ]]",,[],0.21788567916410573,0.2983477648704585
