,Classification_Accuracy,CLS_Cosine_Similarity
0,0.027777777777777776,-0.00045895902910316833
1,0.02142857142857143,0.0016467812826217274
2,0.02365079365079365,0.003786460915110027
3,0.020793650793650795,0.007113984573133892
4,0.02,0.008889180391725867
5,0.020317460317460317,0.013342811904772364
6,0.022063492063492063,0.01636780417674795
7,0.05,0.04205771593960247
8,0.25603174603174605,0.1218284596171644
9,0.703015873015873,0.38751876173597394
10,0.8731746031746032,0.6787848015024205
11,0.9052380952380953,1.0
