,Classification_Accuracy,CLS_Cosine_Similarity
0,0.022872340425531913,0.19672554035981496
1,0.019680851063829788,0.20905212586124738
2,0.025,0.21319019148747126
3,0.021808510638297873,0.21274970918893815
4,0.026063829787234042,0.21696804761886596
5,0.022872340425531913,0.22456450114647547
6,0.032446808510638296,0.2463937426606814
7,0.061170212765957445,0.2726058845718702
8,0.3079787234042553,0.3761296600103378
9,0.5686170212765957,0.5996554553508758
10,0.6345744680851064,0.8335285604000091
11,0.6531914893617021,1.0
