,Classification_Accuracy,CLS_Cosine_Similarity
0,0.022872340425531913,0.19672554035981496
1,0.013297872340425532,0.20905212586124738
2,0.02553191489361702,0.21319019148747126
3,0.02872340425531915,0.21274970918893815
4,0.02074468085106383,0.21696804761886596
5,0.034574468085106384,0.22456450114647547
6,0.06436170212765957,0.2463937426606814
7,0.10691489361702128,0.2726058845718702
8,0.3202127659574468,0.3761296600103378
9,0.5101063829787233,0.5996554553508758
10,0.625,0.8335285604000091
11,0.6574468085106383,1.0
