,Classification_Accuracy,CLS_Cosine_Similarity
0,0.02127659574468085,0.012861601538800945
1,0.03031914893617021,0.014388354308903218
2,0.031914893617021274,0.018065767250179002
3,0.021808510638297873,0.02515449656639248
4,0.022340425531914895,0.033006370052074394
5,0.0574468085106383,0.041961152106523514
6,0.06648936170212766,0.051702841247121496
7,0.08936170212765958,0.061089902992049853
8,0.1276595744680851,0.054187698274229965
9,0.24627659574468086,0.1029583852738142
10,0.6558510638297872,0.2303115834792455
11,0.7851063829787234,1.0
