,Classification_Accuracy,CLS_Cosine_Similarity
0,0.1111111111111111,0.07017892430709718
1,0.08592592592592592,0.07382588678711029
2,0.1388888888888889,0.07961038092887679
3,0.09592592592592593,0.08014145312657536
4,0.15,0.08242458122414212
5,0.16518518518518518,0.0898088188192179
6,0.2474074074074074,0.09610862102965977
7,0.3511111111111111,0.10557204147064408
8,0.6114814814814815,0.1266263086608676
9,0.87,0.1662981577737387
10,0.9211111111111111,0.1974278483972993
11,0.9355555555555556,0.20862637598847233
