,Classification_Accuracy,CLS_Cosine_Similarity
0,0.003606516602412635,0.002855779346270812
1,0.004228329809725159,0.0038067646128761156
2,0.00559631886581271,0.003618499606899503
3,0.005223230941425196,0.0046822749894104955
4,0.004974505658500186,0.0071153269825680624
5,0.00721303320482527,0.008161914675304341
6,0.008456659619450317,0.01160396114989583
7,0.013555527919413009,0.02919055901778241
8,0.06914562865315259,0.13773413227191048
9,0.15657256560129337,0.3560575627618366
10,0.27608506404676036,0.6259522594156719
11,0.3041910210172864,0.9999999995269473
