,Classification_Accuracy,CLS_Cosine_Similarity
0,0.15361862323294406,0.8122950430584188
1,0.12346342962507682,0.8326507970800564
2,0.15938076213890595,0.8505098033302833
3,0.15938076213890595,0.8602528273327051
4,0.15938076213890595,0.8606476187705994
5,0.15938076213890595,0.8605266299821821
6,0.15938076213890595,0.8666828381634462
7,0.15938076213890595,0.8647427712670123
8,0.16472034419176398,0.8494098012218897
9,0.22990934234787952,0.7797037488998301
10,0.38571757836508913,0.6790601704864596
11,0.47045943454210204,0.6747841102778179
