,Classification_Accuracy,CLS_Cosine_Similarity
0,0.02396825396825397,-0.00045895902910316833
1,0.02603174603174603,0.0016467812826217274
2,0.02603174603174603,0.003786460915110027
3,0.02603174603174603,0.007113984573133892
4,0.030634920634920636,0.008889180391725867
5,0.03492063492063492,0.013342811904772364
6,0.04079365079365079,0.01636780417674795
7,0.06619047619047619,0.04205771593960247
8,0.25126984126984125,0.1218284596171644
9,0.38142857142857145,0.38751876173597394
10,0.2509523809523809,0.6787848015024205
11,0.1661904761904762,1.0
