,Classification_Accuracy,CLS_Cosine_Similarity
0,0.007125890736342043,0.4730899982681178
1,0.029612034837688043,0.49170407171201225
2,0.03190815518606493,0.49938715964254704
3,0.0332541567695962,0.503061809172534
4,0.035233570863024546,0.5038716392685668
5,0.04156769596199525,0.5072061089855252
6,0.060807600950118765,0.5169987753786222
7,0.2772763262074426,0.5520161605543561
8,0.5935866983372922,0.626105650807872
9,0.9307996832937451,0.790885288908024
10,0.9698337292161521,0.9267170989152157
11,0.9785431512272368,0.9999999996989665
