,Classification_Accuracy,CLS_Cosine_Similarity
0,0.023404255319148935,0.012861601538800945
1,0.02074468085106383,0.014388354308903218
2,0.02127659574468085,0.018065767250179002
3,0.026595744680851064,0.02515449656639248
4,0.03138297872340425,0.033006370052074394
5,0.03723404255319149,0.041961152106523514
6,0.052127659574468084,0.051702841247121496
7,0.061170212765957445,0.061089902992049853
8,0.09414893617021276,0.054187698274229965
9,0.2872340425531915,0.1029583852738142
10,0.598404255319149,0.2303115834792455
11,0.7632978723404256,1.0
