,Classification_Accuracy,CLS_Cosine_Similarity
0,0.02127659574468085,0.013403890433255582
1,0.028191489361702127,0.016000337805598973
2,0.03031914893617021,0.0196904820157215
3,0.025,0.02682340934406966
4,0.032446808510638296,0.034426639601588246
5,0.0601063829787234,0.041614883672446014
6,0.07074468085106383,0.0455133916499714
7,0.06329787234042553,0.05148369250042985
8,0.075,0.04068486181398233
9,0.11808510638297873,0.07199897551909089
10,0.34893617021276596,0.12787773025532564
11,0.597872340425532,0.5932679494222005
