,Classification_Accuracy,CLS_Cosine_Similarity
0,0.02074468085106383,0.013403890433255582
1,0.02074468085106383,0.016000337805598973
2,0.022340425531914895,0.0196904820157215
3,0.023936170212765957,0.02682340934406966
4,0.03563829787234043,0.034426639601588246
5,0.04680851063829787,0.041614883672446014
6,0.05053191489361702,0.0455133916499714
7,0.07021276595744681,0.05148369250042985
8,0.10159574468085106,0.04068486181398233
9,0.21329787234042552,0.07199897551909089
10,0.5090425531914894,0.12787773025532564
11,0.7675531914893617,0.5932679494222005
