,Classification_Accuracy,CLS_Cosine_Similarity
0,0.09592592592592593,0.07017892430709718
1,0.0974074074074074,0.07382588678711029
2,0.08407407407407408,0.07961038092887679
3,0.09296296296296297,0.08014145312657536
4,0.08555555555555555,0.08242458122414212
5,0.08666666666666667,0.0898088188192179
6,0.09851851851851852,0.09610862102965977
7,0.09037037037037036,0.10557204147064408
8,0.10888888888888888,0.1266263086608676
9,0.11,0.1662981577737387
10,0.08851851851851852,0.1974278483972993
11,0.11148148148148149,0.20862637598847233
