,Classification_Accuracy,CLS_Cosine_Similarity
0,0.002367758186397985,0.2349209172884751
1,0.0022670025188916876,0.2457325145171003
2,0.002619647355163728,0.24823646304883373
3,0.0016624685138539044,0.24573061282228426
4,0.0018136020151133501,0.24916751826499436
5,0.005591939546599496,0.25229106323607864
6,0.009773299748110831,0.2672097914376059
7,0.016221662468513854,0.29012715761397045
8,0.15798488664987406,0.41531701721370795
9,0.32055415617128463,0.6036580009475782
10,0.4682619647355164,0.8401671975755232
11,0.5275566750629723,1.0
