,Classification_Accuracy,CLS_Cosine_Similarity
0,0.02396825396825397,-0.001575041703428283
1,0.023809523809523808,0.0013997400781572467
2,0.02603174603174603,0.003694572173190689
3,0.02603174603174603,0.006483430026400119
4,0.03301587301587302,0.00767102165646249
5,0.06476190476190476,0.0086053985587293
6,0.08063492063492063,0.009146016333346265
7,0.11571428571428571,0.015362427993254229
8,0.39031746031746034,0.026642750553560978
9,0.6274603174603175,0.0578969930853657
10,0.7592063492063492,0.08754506519104288
11,0.7982539682539682,0.09577790388103688
