,Classification_Accuracy,CLS_Cosine_Similarity
0,0.025873015873015874,-0.001575041703428283
1,0.01873015873015873,0.0013997400781572467
2,0.022857142857142857,0.003694572173190689
3,0.025873015873015874,0.006483430026400119
4,0.02126984126984127,0.00767102165646249
5,0.018095238095238095,0.0086053985587293
6,0.01888888888888889,0.009146016333346265
7,0.02873015873015873,0.015362427993254229
8,0.03126984126984127,0.026642750553560978
9,0.025873015873015874,0.0578969930853657
10,0.019365079365079366,0.08754506519104288
11,0.013968253968253968,0.09577790388103688
