,Accuracy,Co_Sim_CLS
0,0.022222222222222223,0.006833699185840992
1,0.022222222222222223,0.006035352381708564
2,0.022222222222222223,0.00621243918342798
3,0.022222222222222223,0.006933134865260335
4,0.022222222222222223,0.007907461339132766
5,0.022222222222222223,0.009942234738381824
6,0.022222222222222223,0.010393422098437587
7,0.02492063492063492,0.01141754649767671
8,0.02603174603174603,0.00976244341511505
9,0.025714285714285714,0.013656642676902597
10,0.03619047619047619,0.029850323704504078
