,Classification_Accuracy,CLS_Cosine_Similarity
0,0.1111111111111111,0.07123345615298943
1,0.08592592592592592,0.07533078457683672
2,0.09592592592592593,0.08237422584707654
3,0.09592592592592593,0.08433138191440077
4,0.07962962962962963,0.08185091512927482
5,0.15,0.09667056785939737
6,0.2025925925925926,0.1088812354692193
7,0.3118518518518518,0.14468078453873479
8,0.7285185185185186,0.2595630755951238
9,0.7733333333333333,0.48299699190051054
10,0.7992592592592592,0.7898319197255511
11,0.7718518518518519,1.0
