,Classification_Accuracy,CLS_Cosine_Similarity
0,0.0048501430170376815,0.002365137953939478
1,0.005098868299962691,0.0035209957369795393
2,0.0038552418853376445,0.002812900196572411
3,0.004601417734112673,0.0038957248889057647
4,0.0048501430170376815,0.007342066841259125
5,0.0048501430170376815,0.007640356868727221
6,0.0067155826389752515,0.008304399537986942
7,0.009202835468225345,0.01899867202155292
8,0.019524934709613233,0.08878818251902149
9,0.034324089043651286,0.20711547993714846
10,0.03904986941922647,0.27440489769454984
11,0.051859221489864445,0.29104784474013345
