,Classification_Accuracy,CLS_Cosine_Similarity
0,0.004601417734112673,0.002365137953939478
1,0.0048501430170376815,0.0035209957369795393
2,0.005471956224350205,0.002812900196572411
3,0.006342494714587738,0.0038957248889057647
4,0.005845044148737719,0.007342066841259125
5,0.007834846412137794,0.007640356868727221
6,0.00746175848775028,0.008304399537986942
7,0.012187538863325457,0.01899867202155292
8,0.04178584753140157,0.08878818251902149
9,0.10085810222609128,0.20711547993714846
10,0.19823405049123244,0.27440489769454984
11,0.27036438253948514,0.29104784474013345
