,Classification_Accuracy,CLS_Cosine_Similarity
0,0.022872340425531913,0.19718683734536172
1,0.02021276595744681,0.20946440895398458
2,0.02446808510638298,0.21351856142282485
3,0.021808510638297873,0.2126079762975375
4,0.021808510638297873,0.21838578184445698
5,0.02127659574468085,0.2235785499215126
6,0.02553191489361702,0.23581936756769817
7,0.03723404255319149,0.25221193383137386
8,0.1851063829787234,0.31815006335576373
9,0.5031914893617021,0.48643500804901124
10,0.6117021276595744,0.6536722262700398
11,0.6335106382978724,0.7243608156840007
