,Classification_Accuracy,CLS_Cosine_Similarity
0,0.0048501430170376815,0.002855779346270812
1,0.005223230941425196,0.0038067646128761156
2,0.004601417734112673,0.003618499606899503
3,0.005471956224350205,0.0046822749894104955
4,0.0048501430170376815,0.0071153269825680624
5,0.0067155826389752515,0.008161914675304341
6,0.007710483770675289,0.01160396114989583
7,0.01442606640965054,0.02919055901778241
8,0.05932097997761472,0.13773413227191048
9,0.159432906354931,0.3560575627618366
10,0.3829125730630519,0.6259522594156719
