,Classification_Accuracy,CLS_Cosine_Similarity
0,0.0024181360201511333,0.2342925903977305
1,0.002619647355163728,0.24458369188657528
2,0.0025188916876574307,0.24682949746919983
3,0.0025692695214105795,0.24635006022606631
4,0.0043828715365239294,0.25071422405948207
5,0.004483627204030226,0.24699089872587915
6,0.006397984886649874,0.2580303512154285
7,0.01591939546599496,0.2754533603260371
8,0.13984886649874056,0.36182916308139296
9,0.3294206549118388,0.5060603949226367
10,0.4743073047858942,0.6712620246832011
11,0.5128463476070529,0.7124564126373487
