,Classification_Accuracy,CLS_Cosine_Similarity
0,0.0017632241813602015,0.2342925903977305
1,0.0023173803526448365,0.24458369188657528
2,0.0024181360201511333,0.24682949746919983
3,0.0016624685138539044,0.24635006022606631
4,0.0018136020151133501,0.25071422405948207
5,0.004785894206549119,0.24699089872587915
6,0.006246851385390428,0.2580303512154285
7,0.011435768261964735,0.2754533603260371
8,0.08992443324937027,0.36182916308139296
9,0.21163727959697734,0.5060603949226367
10,0.33874055415617127,0.6712620246832011
11,0.3836272040302267,0.7124564126373487
