,Accuracy,Co_Sim_CLS
0,0.0025188916876574307,0.0011616089196734944
1,0.0033249370277078087,0.0033190125566562845
2,0.0025188916876574307,0.004908246454038624
3,0.003778337531486146,0.006511248069365398
4,0.004181360201511335,0.009806843127132996
5,0.004785894206549119,0.013382372904720137
6,0.006146095717884131,0.018555816981572375
7,0.007758186397984887,0.021227474977042214
8,0.00871536523929471,0.025703087188917364
9,0.023073047858942066,0.06198053324888565
10,0.2507808564231738,0.17186691556904476
11,0.6516876574307304,0.5633870433189478
