,Accuracy,Co_Sim_CLS
0,0.06376767055931162,0.05303744554373205
1,0.06376767055931162,0.0786320112224586
2,0.06388291333743086,0.12549233108905375
3,0.06376767055931162,0.13727255725743437
4,0.06415181315304241,0.14400569871251062
5,0.14674247080516287,0.1600847205819896
6,0.19579748002458514,0.19586807536990988
7,0.1958743085433313,0.23185669347021445
8,0.15607713583282115,0.294363804619201
9,0.1954901659496005,0.31318725678493115
10,0.19760295021511987,0.3362649519554813
11,0.22414720344191763,0.2531195537756936
