,Classification_Accuracy,CLS_Cosine_Similarity
0,0.15442532267977874,0.8084416691149775
1,0.1585356484326982,0.8317232030908365
2,0.15938076213890595,0.8507801281146394
3,0.15938076213890595,0.8576817398282175
4,0.15938076213890595,0.8611182511877955
5,0.15938076213890595,0.8572773825038563
6,0.15938076213890595,0.8608057791829402
7,0.1594575906576521,0.8676423613503759
8,0.3164950829748002,0.890066924200597
9,0.5588122311001844,0.8961362188512628
10,0.6926859250153657,0.9504114669136685
11,0.7276044867854948,0.9999999985355125
